name,age,income,zip,net_worth
Eric Franklin,48,37458,92366,102564
Jamie Brandon,58,57799,29579,1041258
Albert Cunningham,57,26068,11251,193915
Jeremy Miller,47,33321,11251,353456
John Valadez,61,52263,93287,760919
Geneva Fuller,19,35882,40064,173249
Elsie Ferguson,25,53436,93287,107494
Juan Rodriguez,37,61270,80728,541129
Kay Whitaker,24,51802,79775,114231
Harold Wiggins,25,76881,85486,411877
Edward Meador,62,67077,60059,478344
Ernest Jorgensen,37,34353,80728,236957
Daniel Straugter,49,64413,60059,797205
Curtis Rollison,54,103093,49785,595705
Marc Hayton,36,64834,55803,189592
Christine Lopez,56,56984,48910,64401
Roy Lewis,35,56667,93287,355815
Darrel Washington,35,67470,81722,73510
Debrah Koeneman,53,38252,57067,409985
George Picklesimer,50,54125,79775,406790
Cheryl Holt,52,71584,81162,25775
James Mulzer,58,107776,61910,42823
Marjorie Warden,43,41532,48154,365613
Nathan Gallucci,52,154673,23944,754859
Jodi Kiger,42,49930,85486,224542
Nicolas Labay,25,57750,81722,498783
Doris Reid,27,87013,48154,618968
Laura Smith,65,18674,31724,265610
Jon Beers,36,52915,49785,293317
Jennifer Baca,51,47887,29256,201456
Chad Miller,39,82781,62919,779573
Wilfredo Haug,60,46463,30175,259870
Philip Ward,62,76605,48910,254941
Christopher Haley,28,55004,33968,7750
Kayla Whitney,38,40189,48154,129898
Amanda Rapp,42,119911,49785,581736
Thelma Mancuso,37,60719,92366,198799
Louis Palmiter,65,103397,89947,1160507
Eduardo Gribbin,36,61307,80728,270698
Debra Clark,28,23570,48154,110077
Nancy Bolton,18,71191,59686,245663
Samuel Edwards,46,72647,89947,483698
Brian Dorsey,55,27224,40064,167071
Laila Kunkel,59,95155,49785,1642468
Danny Gonzalez,33,33673,55803,260918
Todd Kirby,35,100167,40445,265313
Jeffrey Mclemore,22,120689,41318,792064
Elsie Rippel,50,29076,29579,360848
Wanda Shoemaker,20,151662,34618,548072
Frank Zubia,60,97287,60059,1360349
Esther Hearn,55,98996,53351,1191150
Joan Presnell,61,47025,29579,128578
Roland Turner,52,77995,41318,759680
Richard Campbell,50,63981,81722,833633
Bradley Colen,65,42379,81162,4094
Dawn Miller,62,84422,62919,552386
John Wilhite,25,61125,72096,295640
Kathleen Baugh,27,87371,60059,352671
Lauren Hannah,34,54214,31643,167658
Laura Parraga,39,99738,11251,1153043
Cheryl May,51,57185,55803,2852
Leah Zuluaga,59,68694,89947,368113
Loretta Uy,56,31118,49890,508211
Angela Allen,58,159913,52566,26065
John Hernandez,44,76922,23944,587001
Larry Hedger,38,84722,48910,714566
Carl Miller,54,51898,85486,627580
Susan Huckleberry,18,118388,11251,274186
Amanda Northern,36,76176,85486,257509
Michael Washington,38,35656,57067,391898
Roy Lamb,37,52873,41318,42718
Savannah Henderson,60,47863,90214,565158
Richard Oliveri,55,45749,85486,707801
David Mora,38,177895,41318,338811
Frances Block,47,65851,61910,501437
Ronnie Salinas,48,61316,40445,377706
James Hannah,50,71113,48154,445058
Michael Bowers,25,108059,11251,603298
Luz Holman,34,40604,29256,319081
William Martinez,33,59205,59686,222653
Joseph Henderson,61,65508,72096,83909
Richard Haase,21,53464,81722,110947
Ronald Campos,59,67039,23944,635008
Jenny Lupien,53,22054,55803,247903
Miriam Wyatt,47,46703,34618,313921
John Williams,61,58889,72096,1029851
Glen Hope,33,25046,92366,75353
Leslie Cabrera,47,58771,93287,30366
Edward Webb,29,51125,11251,329775
Blanch Crawford,60,68531,23944,281337
Johnny Wood,63,71401,60059,128831
Ashley Amodeo,47,123737,14100,1061956
Thelma Lovett,25,45272,79775,279203
Jason Long,37,77216,41318,318399
Walter Wolfe,40,187893,14100,171114
Charles Soto,36,98402,59686,165954
Rozanne Adams,30,96159,81162,579192
Robert Garcia,40,47682,48910,123579
Gertrude Smith,36,22883,85486,233599
Carlos Bordelon,57,71759,89947,950614
Richard Favuzza,45,68064,61065,604638
Jose Krebs,34,50540,29579,52313
Ann Pelham,59,124473,30175,27314
Stanley Fryar,36,77217,85486,302737
Arnold Gingerich,40,31774,81162,66499
Dean Johnson,62,71458,92366,68362
Harold Adkins,20,90129,61910,274766
Linda Fox,46,49307,57129,609961
James Jerman,58,108134,61910,441375
Florence Reed,34,32047,31643,71218
Herbert Hill,58,21945,92366,88629
Marc Wright,28,40652,61910,208265
Rachel Maier,65,63619,62919,202147
Alva Bullen,63,58765,49890,1108892
Lula Garcia,32,31832,57129,272660
Mary Gunter,32,71647,31724,490923
Frank Gray,18,81384,61910,398051
William Johnson,38,47523,31724,271461
Shirley Vandyke,63,37086,29256,356742
Gladys Dismuke,54,41494,29256,15383
Stan Johnson,49,96853,48910,126206
Fernando Hendrick,62,87149,33968,1648270
Donna Reynoldson,63,48820,30175,858210
James Cable,39,90913,85486,96365
Susan Robinson,25,154893,92366,709841
Lisa Eck,64,48848,72096,296306
Phyllis Klein,65,81036,81722,35596
Jonathan Runk,58,62906,81162,956546
Deborah Judy,42,70810,49890,860811
James Boner,49,164914,49785,445568
Martin Buckles,33,27688,81722,4543
Alyssa Swanson,52,162269,62919,279547
Rosendo Kinkade,58,27457,70658,76829
Nancy Theil,60,126802,30175,626988
John Peck,21,29319,40445,38742
Eric Sommers,42,68649,40445,490194
Gregory Suk,18,86714,85486,250255
James Mcdowell,54,161327,41318,1950312
Alfred Lee,58,38259,31724,45849
Julia Ray,63,45638,72096,200890
Cynthia Tarkington,65,75885,89947,517051
Kenneth Hall,20,35822,29256,169148
Helen Dubose,20,135694,41318,520707
Ignacio Dorais,38,74689,48154,525985
Monica Halasz,45,88359,55803,591666
Kevin Melton,53,48134,41995,245647
Robert Hancock,44,76132,85486,303005
Roger Mcclurkin,33,63052,72096,131938
Alberto Darling,18,23228,49785,22174
Cuc Cole,31,57318,61910,166930
Willie Lesniak,60,69384,61065,133835
Yvonne Blythe,33,43012,49890,221923
Patrick Gilliam,20,34247,82564,122732
Charles Stracke,33,28050,49890,47887
Martha Phillips,56,33989,40445,532762
Diane Williams,19,62165,85486,306199
Kevin Lee,23,122932,60059,81487
Russell Roberts,33,156327,60059,254809
Tracy Mcafee,53,39767,30175,602941
Sarah Davis,21,63567,57067,240542
Janie Dumas,53,67031,81722,384207
Maria Abad,20,62043,40064,71732
Mark Clifford,63,61122,70658,465406
Patrick Banks,45,58310,33968,353233
Joseph Perry,43,57995,49785,345011
Richard Terry,62,118478,81722,629419
Ryan Scarborough,63,57234,72096,839287
Wendy Leyendecker,39,42636,93287,395378
Annie Messer,57,69526,60059,338488
Elizabeth Rivera,60,40462,81162,654051
William Menter,31,141126,40445,758281
Dwight Anderson,21,100987,90214,419376
Ina Creed,20,145153,81722,136020
Adam Mulac,26,128233,55803,862822
Teresa Aldrich,61,39131,81722,168160
Darron Hetzel,37,27009,31643,100805
Travis Estrada,60,38733,80728,117773
Kevin Stellmacher,44,31714,81722,155874
Amy Townsend,28,66165,30175,519097
Brendon Cole,19,115345,40064,224904
Elizabeth Brougham,63,20510,61065,242238
Andrew Mbonu,58,40391,79775,154436
David Carrera,33,121193,81722,81467
Kelly Nelson,36,22223,49890,142841
Brian Difranco,34,50528,34618,328749
John Mccune,45,97647,81162,217951
Leo Fajardo,54,79548,85486,1049229
George Jones,42,103971,48910,1074620
Rosario Dinatale,33,23836,41995,125769
Amber Duppstadt,46,62794,48910,755663
Linda Wallace,49,65144,55803,45669
Judith Brown,32,67628,31724,155207
Randy Mickens,53,82883,93287,669333
Samuel Tagg,39,58239,80728,478168
Ella Glenn,61,66831,29579,437627
Delores Mcmillan,60,73006,53351,277585
Michael Varney,56,65244,60059,648444
Roscoe Davis,21,24572,41995,49291
Stephen Brown,36,50705,60059,94168
Deborah Awalt,23,100874,30175,420130
Joanne Kutz,18,23870,41318,39186
Dean Miller,34,52090,33968,104834
Irene Joseph,30,209548,59686,1250849
Abel Woods,33,49399,31643,107418
Mario Kummer,27,65863,41318,313676
Janie Grasso,30,104784,61065,484969
Brenda Mcwhorter,35,37199,29256,195167
Elaine Cadena,58,51380,80728,399442
James Johnson,27,110932,23944,572633
Joseph Mcgraw,28,46513,55803,288136
Carlton Greene,36,35685,61910,378354
Earl Andrews,37,82766,81162,159920
Laurence Sanford,35,63912,52566,559100
Ronda Newman,28,48041,23944,47909
Kathleen Dirden,20,59553,49785,295175
Karen Pennington,23,51759,40445,126552
Chasity Melton,56,140689,55803,1766483
Ronnie Berndt,20,61155,53351,193220
Elinor Williams,28,68942,89947,148033
Daniel Walker,40,48725,52566,262183
Patricia Hines,62,32643,85486,576720
Judith Nguyen,54,43184,41995,680424
Marc Looft,61,116669,11251,1565014
Wanda Ball,30,80070,33968,456882
Manuel Flood,25,92619,48910,399126
Thomas Stone,36,98206,57067,1026995
Jeremy Cann,54,58558,14100,869799
Scott Keast,62,114464,40064,1430744
Grace Smith,27,52189,57067,95675
Joan Palesano,64,40448,49785,294817
Jon Diven,28,101864,41318,472670
Joe Henderson,49,158894,61910,1645772
Donald Clayton,24,30699,61065,175441
Joseph Vanhorn,60,87610,29579,1006227
James Riddell,57,52467,72096,407138
Brian Freeman,47,32521,72096,342973
Hugh Jackson,31,225308,29256,270586
Dorothy Ramsey,46,35141,31643,52261
Jean Frank,29,61181,49890,517550
Annett Kaiser,39,36460,40064,124714
Milton Montello,32,22288,52566,139643
Jeffrey Keller,61,53224,49890,890069
Lawrence Vann,61,55235,61910,380590
Mary Dolecki,65,83269,89947,1467942
Gordon Parfitt,48,49267,31643,272384
Jesus Vellucci,25,40299,70658,59519
Elizabeth Caldwell,33,24354,34618,156546
Angela Miller,52,49790,90214,680134
Judi Terrell,29,62893,34618,99207
Juanita Thompson,18,76641,59686,20837
Rachel Davis,64,61387,61065,674168
John Weir,44,42716,89947,558560
Hubert Dawson,54,77226,48154,689792
Marian Kim,60,75562,53351,1092125
Daniel English,46,57808,41318,72269
Karen Ulibarri,32,39570,85486,477316
Carlos Stellman,60,86966,40445,1518295
Dora Bureau,38,23561,85486,137865
Mark Mellin,65,57058,33968,216545
Laura Stewarts,58,34819,33968,9329
Christina Oliphant,33,59907,62919,32813
Annie Murrell,54,64469,49890,530049
Michael James,55,38301,34618,260179
Gladys Mcleod,63,35909,29256,566750
Javier Schroeder,34,86893,33968,870246
Cameron Webb,56,84687,72096,1296621
Sheri Salazar,35,59776,59686,476463
William Hardesty,26,46245,34618,156220
Javier Suryan,26,35487,41995,24057
Christopher Tuohy,60,76366,55803,474319
Wayne Howard,33,53276,48910,6919
Michael Schumacher,54,53258,31643,773702
David Mckinney,37,42025,57067,53690
Alice Fisher,55,93970,52566,550576
Jose Lucas,42,32132,41318,246666
David Miller,39,40516,81162,280609
Gilberto Spangler,57,93232,49890,1571700
Brian James,18,102021,72096,281252
Jack Lowe,37,56567,93287,535822
Rosemary Williams,62,72024,80728,1118059
Bradley Woods,57,83191,59686,685743
Lucile Schroyer,47,23882,41995,27122
Virginia Jones,44,33562,34618,283725
Anibal Simmons,44,16487,11251,177840
Charles Mccutcheon,53,43504,52566,475268
Rodney Shiver,22,77947,92366,504098
John Burns,59,36177,85486,550344
Phillip Choquette,21,30335,81162,125799
Edward Ball,57,51153,85486,429180
Connie Light,32,45966,81722,257077
Russell Peterson,47,18297,30175,65309
Barry Ouellette,26,38981,49785,285668
John Reedy,48,76352,61065,106230
Georgina French,19,87329,81722,170438
Rusty Diggs,64,40149,30175,173443
Olga Lizaola,55,70431,85486,1026444
David Magedanz,35,20972,60059,146429
Albert Parker,32,39964,23944,297526
Scott Lancaster,57,55824,34618,762548
Stacy Bradley,21,64555,57067,268596
Carlton Shackett,29,56417,49785,60130
Emily France,45,35014,80728,461799
Janet Banuelos,48,38077,81162,95576
Jennifer Ziech,54,199248,30175,2651926
Denise Smith,53,216205,41318,3206684
Jeffery Knowles,39,77594,90214,823344
John Missey,28,119151,80728,223175
David Gilmartin,38,144489,81162,132062
Orville Yoder,55,190023,48910,1539607
Christopher Phillips,30,83487,48154,346437
Amos Creighton,54,38232,40064,558410
Tom Rogers,32,62336,30175,283455
Mary Dicks,50,87743,61065,111068
Jorge Spikes,55,38737,93287,13103
John Mccrimmon,19,73977,57129,189661
Kevin Harper,40,49918,52566,101102
Kevin Burns,53,62961,23944,714781
Helene Bannister,36,57000,31724,412220
Megan Nichols,35,36119,23944,127245
David Woodford,42,43080,80728,489515
John Kent,50,43553,48154,196900
John Weber,50,76394,29256,702497
Beverly Smith,27,36649,31643,275761
Julia Farmer,56,75560,81162,50408
Charles Lopeman,42,116684,57129,568058
Dorothy Beltran,27,97822,82564,790965
John King,39,61245,41995,47899
Susan Straka,39,82309,55803,283172
Mary Murphy,24,77555,31643,134835
Sterling Ortiz,63,136488,49785,678174
Ellen Rowold,27,21683,48154,134719
Mark Traynor,21,125921,49890,341079
Michael Brock,60,80065,93287,221404
Michele Cegielski,63,94039,40064,43513
Annie Bennett,51,50062,59686,267896
Maurice Thomas,49,106869,85486,38799
Helen Culver,61,40900,57067,437274
Gregg Schillinger,23,104236,57067,469005
Joyce Baker,57,78007,30175,954420
Steven Almand,47,68144,41995,945865
William Hinton,45,78170,14100,743852
Marlene Neal,46,60691,93287,489544
Darrell Chambers,36,61796,61910,473952
Robert Martin,28,81220,23944,262200
Kenneth Holliday,55,96357,40445,393714
John Wise,29,86521,60059,511077
Jana Teel,31,57245,79775,84463
Melody Knutson,47,38253,61065,423820
Delmar Riedel,30,44242,40064,190505
Raphael Winton,32,30045,92366,284327
Alexander Hilliard,24,69082,49890,349784
Robert Pitman,58,140525,81722,1815369
Carmen Small,61,72840,61910,366952
Nancy Cardenas,42,118434,93287,572069
James Harrington,26,56698,40445,50149
